country_iso3,population,gdp_growth,continent,merchandise_of_gdp,gdp_per_capita,area,landlocked,agriculture_forestry_fishing_of_gdp,foreign_direct_investment_inflows,inflation_rate,gdp_us_dollar,net_barter_of_trade,langoff_1,industry_of_gdp
BTN,710235.0,2.119972633,Asia,82.73471356,2472.724753,46620,1,14.09121578,20433631.07,7.006666667,1756215665.0,118.9365529,Burmese,43.36691194
BWA,2062551.0,11.34339697,Africa,109.1348259,7224.912737,600372,1,2.29859284,67136806.16,5.884607071,14901750991.0,81.95856791,English,31.48264728
CAF,4447945.0,-36.3919771,Africa,19.44968493,380.2978928,622984,1,32.25890625,1852792.612,6.98879342,1691544192.0,75.14970891,French,24.19130699
CAN,35082954.0,2.329122506,America,50.58465852,52635.17496,9976139,0,1.894231512,67027866778.0,0.9382918978,1847208522155.0,116.0515976,English,26.61323518
CHE,8089346.0,1.852039816,Europe,95.3157191,88109.48675,41288,1,0.6564793926,-24926465857.0,-0.2173231551,688504173431.0,101.5339843,German,24.95949281
CHL,17571511.0,4.045004298,America,56.08181987,15842.93648,756945,0,3.381868051,22210440993.0,1.78955554,278384345259.0,196.4245918,Spanish,31.1937573
CHN,1357380000.0,7.766150098,Asia,43.45682824,7050.646271,9572378,0,8.942893962,290928431467.0,2.621050017,9570406235660.0,80.64771598,Chinese,44.17670454
CIV,22087506.0,8.889421302,Africa,78.44447778,1415.871694,322463,0,20.97862591,407592122.1,2.581170373,31273074528.0,144.5788389,French,25.95105232
CMR,22077300.0,5.40426571,Africa,34.50221218,1465.63871,475442,0,13.89889921,547404749.8,2.05908684,32357345501.0,153.8831113,French,27.63050269
COG,4622757.0,-0.7124344519,Africa,104.853518,3883.746848,342000,0,4.260083078,1878325499.0,4.631616197,17958721572.0,225.819356,French,61.98930708
COL,46495492.0,5.13399352,America,30.93850058,8218.347844,1141748,0,5.392714954,16210419016.0,2.018098479,382116126449.0,161.3126843,Spanish,32.74755529
COM,741511.0,4.499874215,Africa,27.32426204,1505.33722,1862,0,30.78986256,4231644.417,-4.294873315,1116224161.0,101.7395736,Arabic,11.64828999
CRI,4742111.0,2.2690274,America,58.11028554,10744.09102,51076,0,4.783350933,3205384977.0,5.231336142,49745088112.0,99.80970158,Spanish,21.34497248
CYP,1143866.0,-6.553078255,Europe,34.86483582,27729.1927,9251,0,2.041470818,25966316071.0,-0.3993576765,23900872626.0,92.23766941,Greek,10.76026424
CZE,10514272.0,-0.04590367355,Europe,144.8057761,20133.16914,78864,1,2.364771166,7357578653.0,1.438297872,211685616593.0,102.1156767,Czech,32.64607051
DEU,80645605.0,0.4375913031,Europe,70.35843845,46285.76407,357325,0,0.9426432141,67199694459.0,1.50472098,3732743446219.0,94.49136722,German,26.78261334
DMA,71019.0,-0.9999406312,America,47.76274714,7016.380071,751,0,13.98468857,17915757.41,-0.04641164688,498296296.3,101.3719251,English,12.31975621
DNK,5614932.0,0.9333409724,Europe,60.62469805,61191.1937,43094,0,1.302127587,680338945.9,0.7890717801,343584391648.0,101.8835426,Danish,20.06180735
DOM,10048226.0,4.875205089,America,42.3150676,6238.132367,48734,0,5.304865946,1599900000.0,4.830950967,62682163838.0,98.52237738,Spanish,29.24893357
DZA,38140135.0,2.8,Africa,57.21055428,5499.587331,2381741,0,9.851117128,1691886708.0,3.25423911,209724351222.0,283.1411813,Arabic,44.25329676
ECU,15707473.0,4.946511267,America,54.65593018,6056.331213,275716,0,8.769342903,727081206.3,2.721775777,95129659000.0,168.3016819,Spanish,37.14612811
EGY,88404652.0,2.185466055,Africa,33.0051118,3262.657586,1001449,0,11.2743496,4192200000.0,9.469719811,288434108527.0,151.3626558,Arabic,39.88695979
ESP,46620045.0,-1.435394259,Europe,48.60139416,29059.54795,505954,0,2.622340613,47373243839.0,1.408546292,1354757433213.0,89.14745043,Spanish,20.27955168
EST,1317997.0,1.346184732,Europe,137.6417245,19174.10033,45227,0,3.068218214,1097942107.0,2.78056659,25271406708.0,94.78808227,Estonian,25.1866982
ETH,95385793.0,10.58227005,Africa,31.5751623,499.5315302,1127127,1,41.23950553,1343876024.0,7.464021929,47648211133.0,133.00678,Amharic,10.94455699
FIN,5438972.0,-0.9016963162,Europe,56.03215908,49878.04324,336593,0,2.367353331,-4940676481.0,1.478286157,271285280621.0,88.01570225,Swedish,23.32163605
FJI,865602.0,4.73421949,Pacific,93.88700592,4840.72727,18333,0,10.11310699,243782754.0,2.913541936,4190143206.0,108.7033864,English,16.33721435
FRA,65998685.0,0.5763266748,Europe,44.90911043,42592.93539,547026,0,1.458632177,31589283791.0,0.8637154979,2811077725704.0,88.77700851,French,17.97180129
GAB,1817070.0,5.638699003,Africa,78.38826653,9683.58162,267667,0,3.329080651,324032442.4,0.5054410589,17595745653.0,223.6092229,French,56.60861687
GBR,64128273.0,2.139485718,Europe,43.4353553,43401.31053,244110,0,0.6447097627,54473175400.0,2.291666667,2786022872707.0,101.5199377,English,18.93103324
GEO,3717668.0,3.621305352,Asia,63.60259014,4623.745725,69700,0,8.61641445,1046562195.0,-0.5120584109,17189551521.0,135.4571643,Georgian,18.512858
GHA,26607641.0,7.312525007,Africa,49.90525475,2361.090324,238538,0,20.36984251,3227000000.0,11.66619231,62405374786.0,178.1367504,English,34.08982225
GIN,10892821.0,3.934784025,Africa,44.8271828,769.0031667,245857,0,17.54527212,190000.0,11.88789561,8376613843.0,102.5492868,French,29.64071455
GMB,1963708.0,2.87276879,Africa,35.18441762,700.5160422,11295,0,26.22212251,68340322.38,5.699129896,1375608956.0,103.8923657,English,11.89469631
GNB,1648259.0,3.255904265,Africa,32.11968658,634.6620391,36125,0,44.13561101,19639703.8,1.207125557,1046087418.0,79.44991418,Portuguese,14.42470654
GNQ,1076412.0,-4.133198501,Africa,94.78407703,20390.73727,28051,0,1.19199068,582948701.9,2.948876946,21948835350.0,238.0250407,Spanish,72.44925774
GRC,10965211.0,-3.241424731,Europe,40.673161,21749.15248,131621,0,3.387648533,2945271845.0,-0.922168807,239862011052.0,87.80171712,Greek,15.08221499
GRD,108172.0,2.351418773,America,48.06436432,7789.632355,345,0,4.835402519,74688413.33,-0.04399978648,842620111.1,93.62672573,English,13.39788331
GTM,15043981.0,3.6975861,America,51.97131668,3522.773706,108889,0,10.3562211,1522143500.0,4.343371313,52996540576.0,229.5897031,Spanish,22.95294843
GUY,759281.0,3.653407571,America,77.97875604,5489.142758,214970,0,25.6475106,200558390.0,1.901251819,4167801803.0,118.1209858,English,25.62806591
HND,8798524.0,2.791559757,America,101.5475371,2102.592449,112088,0,12.19112794,1069029263.0,5.161898986,18499710128.0,166.52137,Spanish,25.40931972
HRV,4255689.0,-0.447092177,Europe,59.59541984,13674.4178,56538,0,3.503151488,937309759.6,2.216582064,58194069434.0,98.62913983,Serbo-Croatian,21.43382123
HTI,10400672.0,3.085008621,America,30.79718137,1393.956085,27750,0,19.2308684,161918586.3,4.765024048,14498080023.0,307.6883703,French,25.93305046
HUN,9893082.0,1.860751624,Europe,153.3205783,13687.51406,93032,1,3.924971576,-3586600505.0,1.73319985,135411698965.0,99.47825403,Hungarian,25.09969324
IDN,251805314.0,5.557263689,Asia,40.45712164,3623.927241,1933658,0,13.35669916,23281742362.0,6.412513302,912524136718.0,121.8435134,Indonesian,42.63567744
IND,1280842119.0,6.386106401,Asia,42.02271255,1449.610451,3287590,0,17.14842354,28153031270.0,11.06367478,1856722121395.0,92.44597165,English,28.40489956
IRL,4623816.0,1.351633847,Europe,79.15462635,51577.27936,70285,0,1.083459012,70811172728.0,0.5087148695,238543539441.0,92.77615275,English,24.33199535
IRN,76481963.0,-0.194073471,Asia,29.83663785,6018.3229,1648100,0,9.753665091,3049945000.0,36.60303552,460293149324.0,191.5437929,Persian,42.88103081
IRQ,33157061.0,7.6,Asia,67.41031674,7076.552265,437072,0,4.768439716,-2335300000.0,1.879498007,234648370497.0,240.305996,Arabic,57.69152679
ISL,323764.0,4.13385115,Europe,62.12689863,49804.983,102819,0,5.855934692,472607545.8,3.872279237,16033517403.0,82.48618831,Icelandic,21.14002897
ISR,8059500.0,4.148054503,Asia,47.04901079,36316.47837,21621,0,1.260969975,11842200000.0,1.576211979,292636164056.0,100.7071701,Hebrew,20.60137749
ITA,60233948.0,-1.841065451,Europe,46.59355805,35549.9747,301323,0,2.144589807,19531411962.0,1.219993423,2141315327318.0,96.8993313,Italian,21.17245852
JAM,2858710.0,0.5015605832,America,54.57718278,4989.734089,10991,0,5.970479633,544747561.8,9.341500766,14262589158.0,82.73325382,English,18.09906598
JOR,8518992.0,2.609947414,Asia,85.53034059,4044.426869,91862,0,3.583018644,1946597204.0,4.824623143,34454440181.0,77.88197482,Arabic,25.64065978
JPN,127445000.0,2.000267841,Asia,30.03002265,40454.44746,377801,0,1.104187087,10648441636.0,0.3464403257,5155717056271.0,59.01942646,Japanese,26.9376337
KAZ,17035551.0,5.999999999,Asia,56.41864167,13890.63096,2717300,1,4.50354557,10011293285.0,5.846409173,236634552078.0,229.0327983,Kazakh,33.69881564
KEN,45519986.0,5.878680567,Africa,40.31818365,1210.385435,582646,0,26.44333406,1118819097.0,5.71749357,55096728048.0,87.95314011,English,18.02414707
KGZ,5719600.0,10.91546948,Asia,110.8107624,1282.437162,198500,1,14.63787255,612016900.0,6.613752024,7335027592.0,120.333212,Kyrgyz,24.84359467
KHM,15026330.0,7.356665149,Asia,106.5209428,1013.420536,181035,0,31.59506243,2068470774.0,2.94260016,15227991395.0,70.01896927,Khmer,24.06765417
KIR,107887.0,4.214773912,Pacific,56.18162,1715.813041,717,0,23.04775713,838137.9532,-1.488059085,185113921.6,89.89351847,English,14.472648
KNA,50328.0,5.383690734,America,36.31945241,16685.94759,269,0,1.185509266,110789970.4,1.10698554,839774074.1,67.59717218,English,20.52853955
KOR,50428893.0,3.164708636,Asia,78.43739167,27182.73431,99484,0,2.099047114,12766600000.0,1.301377058,1370795199976.0,51.85720989,Korean,34.44782919
KWT,3526382.0,1.149300437,Asia,82.91344324,49388.05338,17818,0,0.3551175188,1433630444.0,2.682296841,174161142454.0,224.9854492,Arabic,73.09873441
LAO,6541302.0,8.026300226,Asia,44.75713307,1825.665672,236800,1,17.93049843,681397257.1,6.371427178,11942230508.0,98.83709643,Lao,30.42770755
LBN,5913016.0,3.811023284,Asia,57.97140361,7933.233249,10452,0,3.953061054,2661087128.0,4.821019563,46909335135.0,97.5588339,Arabic,16.34163991
LBR,4248337.0,8.704028066,Africa,55.72220411,721.9295456,111369,0,37.2278448,1998675366.0,7.577306817,3067000000.0,147.4809078,English,15.75802739
LBY,6320350.0,-13.59999997,Africa,111.4729779,10363.80425,1759540,0,1.0,702000000.0,2.605818027,65502870174.0,227.9584707,Arabic,80.0
LCA,177505.0,-3.174377604,America,47.69293704,9378.985047,617,0,2.627912422,83515042.22,1.472018389,1664816741.0,96.97758127,English,10.52857736
LKA,20585000.0,3.39573265,Asia,37.95994704,3610.289363,65610,0,7.666516518,932551317.6,6.908450348,74317806538.0,103.0551429,Sinhala,29.16275801
LSO,2028528.0,4.186912501,Africa,127.6660549,1166.911756,30355,1,5.064362952,50429031.34,4.865118995,2421470018.0,76.34357195,English,29.02324164
LTU,2957689.0,3.550072843,Europe,144.8818679,15729.65247,65300,0,3.544920865,768657972.0,1.047479371,46514471182.0,94.37229186,Lithuanian,27.39489367
LUX,543360.0,3.654371342,Europe,73.10248388,113625.1329,2586,1,0.2768843404,16007703035.0,1.734039635,61739352212.0,75.01705656,French,10.90496985
LVA,2012647.0,2.310176076,Europe,106.226925,15122.73528,64589,0,3.20048233,989283879.4,-0.02945477826,30432796306.0,103.2123828,Latvian,20.28212198
MAR,33715705.0,4.5354242,Africa,62.87066831,3121.680081,710850,0,13.38956681,3360909924.0,1.880654667,106825649872.0,122.7638019,Arabic,26.1685022
MDA,2858692.0,9.043865482,Europe,83.39752502,3322.038436,33700,0,11.55036174,241880000.0,4.597878974,9496684701.0,71.04158724,Romanian,21.60325673
MDG,22961259.0,2.300386934,Africa,41.7191278,541.0660586,587041,0,26.49302836,565848886.0,5.826429445,12423557907.0,75.82676034,French,12.44809679
MDV,415592.0,7.281073979,Asia,62.64014781,7928.476443,298,0,5.413434052,360816336.2,3.805630009,3295011382.0,89.17690999,Maldivian,8.058403066
MEX,118827158.0,1.354091962,America,60.49544379,10725.18359,1967210,0,3.138783695,50791028233.0,3.806390697,1274443084717.0,114.0374804,Spanish,31.85631756
MKD,2076065.0,2.925257665,Europe,100.9465402,5210.153044,25713,1,10.02747609,402458309.8,2.785000567,10817712139.0,88.34576044,Macedonian,22.14046476
MLI,16449854.0,2.29506829,Africa,46.41050524,805.0339796,1240142,1,36.75281627,307853389.3,-0.6067363564,13242680705.0,166.3747417,French,17.184553
MLT,425967.0,5.473355914,Europe,92.67735038,24771.07658,316,0,1.069855256,510057778.1,1.180284364,10551661220.0,124.8980825,English,14.58717991
MMR,51852464.0,8.426001025,Asia,40.00999753,1121.942049,678500,0,29.53372536,2254603965.0,5.643038834,60269734045.0,111.240099,Burmese,32.3622196
MNG,2881783.0,11.64891619,Asia,84.46110672,4366.089537,1565500,1,13.41406247,2059702973.0,10.49065676,12582122604.0,177.26127,Mongolian,30.50689238
MOZ,25560752.0,6.963607135,Africa,83.20215208,664.0775104,801590,0,23.50395072,6697422432.0,4.261352509,16974320551.0,91.5733563,Portuguese,16.34875133
MRT,3817497.0,4.150813186,Africa,91.78931215,1892.094,1030700,0,16.28260111,1126004760.0,4.129101738,7223063170.0,154.8608129,Arabic,38.60977013
MUS,1258653.0,3.360406103,Africa,68.14701192,9637.015729,2045,0,3.375429985,293369157.1,3.543295739,12129642296.0,105.5403196,English,20.6005956
MWI,15839287.0,5.199999998,Africa,73.43880344,348.4298737,118484,1,28.67364219,451362406.6,27.28333333,5518880769.0,98.369698,English,14.78394543
MYS,29468923.0,4.693722526,Asia,134.3206558,10970.1043,329758,0,9.113363845,11296279514.0,2.105012312,323277158907.0,112.0803835,Malay,39.88537365
NAM,2233506.0,5.614719652,Africa,101.7165063,5392.09494,825518,0,7.821464914,777073646.4,5.600925023,12011207741.0,122.1256062,English,26.54834346
NER,18504287.0,5.315130636,Africa,35.2668557,552.569139,1267000,1,32.23501073,719338470.5,2.29723115,10224897935.0,191.9523584,French,26.04650195
NGA,171765819.0,6.671335393,Africa,28.81010963,2961.549422,923768,0,20.75862283,5562857987.0,8.475827285,508692961937.0,222.9305081,English,25.74232124
NIC,6062462.0,4.926115047,America,104.5435825,1811.636803,130670,0,16.49173204,965100000.0,7.135467853,10982938826.0,253.0259447,Spanish,25.38725003
NLD,16804432.0,-0.1301752884,Europe,143.827024,52184.06185,41863,0,1.790864893,328677379048.0,2.506898527,876923518850.0,91.68568639,Dutch,19.33416406
NOR,5079623.0,1.034072914,Europe,47.02526582,102913.4508,323752,0,1.31530621,-1368607171.0,2.120486204,522761531915.0,159.8438855,Norwegian,35.63947143
NPL,26916795.0,4.128877676,Asia,33.61578268,823.3598746,147181,1,28.62265753,74179632.61,9.040163119,19271168018.0,74.02282225,Nepali,13.79833756
NZL,4442100.0,2.628800543,Pacific,41.42654591,42976.64959,268676,0,7.03371665,-69519935.42,1.134422664,190845889950.0,133.1959429,English,20.2875516
OMN,3764805.0,5.104799427,Asia,114.3495489,20865.78787,212379,0,1.307696649,1612430962.0,1.045528388,78555637365.0,242.4044238,Arabic,67.4689875
PAK,191260799.0,4.396456633,Asia,30.17404737,1208.91771,882872,0,23.83211646,1333000000.0,7.692156119,231218567179.0,46.27624777,Urdu,20.21693641
PAN,3835447.0,6.903272566,America,82.71947965,11889.07056,75648,0,2.944524001,3799000000.0,4.027159916,45600000000.0,180.2139127,Spanish,25.13755513
PER,29773986.0,5.852518211,America,43.0126995,6756.752996,1285216,0,6.668310165,9826002544.0,2.806716509,201175469114.0,185.6778537,Spanish,33.85943675
PHL,98871558.0,6.750531301,Asia,43.11441484,2871.429701,300000,0,12.4734251,3737371740.0,2.582687661,283902829721.0,73.519289,English,30.77544663
PLW,17603.0,-3.387316396,Pacific,79.59579807,12561.33614,487,0,3.73684182,18041109.84,3.354810042,221117200.0,85.29197894,English,7.329913729
PNG,7788388.0,3.824946266,Pacific,53.43478077,2729.888751,462840,0,19.26001935,26804026.04,4.96031746,21261432775.0,195.1680967,English,26.54078167
POL,38040196.0,1.125767836,Europe,79.18965866,13696.4663,312685,0,3.091167676,795000000.0,0.9919826063,521016262735.0,98.40365896,Polish,28.3687491
PRT,10457295.0,-0.9226446745,Europe,61.20170726,21647.04181,92389,0,2.095482699,15745220666.0,0.2744166667,226369502104.0,92.08986542,Portuguese,18.86789483
PRY,6510273.0,8.417495285,America,55.87905411,5936.975959,406752,1,13.18518553,312567000.0,2.683857387,38585317743.0,112.2413572,Spanish,32.91257904
QAT,2336579.0,5.556040641,Asia,82.46915102,85050.68435,11437,0,0.09602295156,-840384615.4,3.221977568,198727642979.0,221.158652,Arabic,71.76825132
RUS,143506995.0,1.755422149,Asia,37.64951243,15974.64463,17075400,0,2.993600488,69218890000.0,6.753710262,2292473246621.0,189.6202605,Russian,28.19128918
RWA,10811538.0,4.719854196,Africa,38.44874599,722.8943285,26338,1,24.93369409,233763793.6,5.92426868,7819538349.0,167.6828907,French,17.60116252
SAU,30052058.0,2.699254721,Asia,72.86266565,24845.12466,2153168,0,2.157306454,8864693333.0,3.532524707,746647127408.0,143.7710761,Arabic,59.86247398
SEN,13782429.0,2.82210565,Africa,48.69792993,1372.665779,196722,0,13.72488038,311366768.8,0.7102454867,18965572150.0,107.9036097,French,24.29421252
SGP,5399162.0,4.837298646,Asia,254.6574121,56967.42579,646,0,0.03442718235,64389514904.0,2.358604154,307576360585.0,82.54986751,English,23.44522298
SLE,6863975.0,20.71576829,Africa,75.13703523,716.8358269,73326,0,47.98330898,429664580.1,5.51827137,4920343195.0,61.0329198,English,21.22851294
SLV,6266076.0,2.235729888,America,73.95308165,3509.528132,21041,0,5.613258533,245179098.3,0.7576691845,21990970000.0,82.79064662,Spanish,26.12158536
STP,192076.0,4.814794386,Africa,54.89853221,1564.768548,964,0,12.03395966,12162344.82,8.105832709,300553785.0,106.3152713,Portuguese,15.73752108
SUR,547295.0,2.93344123,America,89.19969378,9402.164419,163820,0,8.485954891,186765030.6,1.923436041,5145757576.0,131.8043738,Dutch,32.25369531
SVK,5413393.0,0.6665350418,Europe,169.5683394,18260.01577,49036,1,2.730968179,1003901609.0,1.40047369,98848641555.0,90.70497352,Slovak,28.7422899
SVN,2059953.0,-1.029282772,Europe,139.2342128,23496.6025,20256,0,1.971225204,104022716.6,1.769200859,48401896808.0,94.49271307,Slovenian,27.48895447
SWE,9600379.0,1.187775716,Europe,55.91949786,61126.9432,449964,0,1.466540019,1316837632.0,-0.04429297015,586841821797.0,91.64289161,Swedish,22.06833913
SWZ,1086843.0,3.862271882,Africa,78.03897023,4230.328486,17364,1,10.11543454,81790158.4,5.621306235,4600000000.0,110.0499102,Swati,35.6451216
SYC,89949.0,6.018076825,Africa,124.9851666,14765.67398,455,0,2.667339015,57289065.62,4.338938483,1328157609.0,83.74135358,English,12.62216628
TCD,13220433.0,5.700001363,Africa,52.4953207,979.8117426,1284005,1,50.04519248,520200751.3,0.2226715646,12953535496.0,218.6156532,French,13.32971956
TGO,6954721.0,6.112343078,Africa,99.29065019,621.3988536,56785,0,37.51484194,183599249.0,1.825394759,4321655656.0,110.259073,French,17.63003733
THA,68144519.0,2.687495563,Asia,113.9362764,6168.261356,513115,0,11.32221534,15935960665.0,2.184886185,420333203150.0,94.46624038,Thai,36.89858846
TJK,8059782.0,7.400081256,Asia,62.88712752,1048.225602,143095,1,21.32088785,283140730.0,5.009646453,8448469838.0,83.73563893,Tajik,23.11516465
TKM,5366376.0,10.2000001,Asia,68.37163088,7304.285771,488100,1,8.474394207,2861420712.0,6.8,39197543860.0,237.7737155,Turkmen,63.42771208
TON,101768.0,0.3123079093,Pacific,47.70954092,4428.146521,748,0,17.10784194,6269513.29,0.7756293224,450643615.2,100.4373266,Tongan,15.87143086
TTO,1353708.0,2.229074805,America,115.0559241,20143.54541,5130,0,0.7231333807,-1129966026.0,5.199817405,27268478565.0,146.3235963,English,48.24558757
TUN,10952949.0,2.875523842,Africa,89.35360065,4222.70514,164150,0,8.890289753,1058622582.0,5.316235313,46251061734.0,113.5096329,Arabic,28.77100697
TUR,75925454.0,8.485817002,Europe,44.0918236,12614.78161,780576,0,6.676108123,13563000000.0,7.493090305,957799371566.0,90.43068182,Turkish,27.67999218
TZA,48483132.0,6.781585601,Africa,36.44878693,970.3996014,945090,0,26.79086792,2087261310.0,7.870723646,45680532614.0,143.2200646,English,25.44674503
UGA,35694519.0,3.586905826,Africa,28.57080827,806.6119363,241038,1,26.15549687,1096000000.0,4.902714419,28791625559.0,107.1976343,English,24.57097183
UKR,45489648.0,-0.02669789007,Europe,76.98700961,4029.711252,603677,0,8.78638928,4509000000.0,-0.238948626,183310146378.0,94.5718131,Ukrainian,22.66963236
URY,3389436.0,4.63753863,America,35.9960995,16973.68924,176215,0,7.616200626,986930050.6,8.57513504,57531233351.0,110.8299343,Spanish,23.66924034
USA,316059947.0,1.84208107,America,23.28679248,53106.53677,9529106,0,1.333513679,288131000000.0,1.464832656,16784849196000.0,95.34050179,English,19.25820128
UZB,30243200.0,7.584537849,Asia,36.43337923,2281.410973,447400,1,29.4965853,691576226.0,11.7,68997168338.0,168.0221988,Uzbek,22.58546675
VCT,108624.0,1.832976653,America,58.09701837,6639.484897,389,0,6.480387827,126735013.0,0.8051278043,721207407.4,100.6057138,English,15.33488081
VNM,90752593.0,5.421882991,Asia,154.2243177,1886.69017,331114,0,17.96358637,8900000000.0,6.592674759,171222025117.0,125.9419655,Vietnamese,33.19004024
WSM,190712.0,-0.4188443993,Pacific,55.71271824,4037.615168,2842,0,9.712510781,13791695.17,0.6100857209,770021664.0,78.89561431,Samoan,18.23644406
YEM,25147112.0,4.823414981,Asia,53.37838472,1607.152173,547244,0,7.867396368,-133570895.6,10.96844215,40415235702.0,175.6305571,Arabic,43.88085892
ZAF,53687125.0,2.4852005,Africa,60.6502657,6832.725546,1219912,0,2.097756311,8232518816.0,5.776404135,366829390479.0,137.5087277,English,26.66809154
ZMB,14926551.0,5.05723174,Africa,75.58875412,1878.346811,752614,1,8.226523184,2099800000.0,6.977676055,28045553105.0,175.9968672,English,32.55644911
ZWE,13350378.0,1.989492762,Africa,58.26299485,1429.998461,390759,1,7.144479446,373050000.0,1.634950415,19091020000.0,103.326584,English,23.79961521
